Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 dic 2024,978,0.9191,899,19872918.75,,4.6,0.9983,0.9191,0.0022,20
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 ago 2024,6022.253129,0.1438,866,14683074.1,,4.6,0.9936,0.1207,0.0023,11
Argentina,Juanchi,MARCA B,Urquiza,Rappi,1 sept 2024,5850,0.147,860,15179655,0.7151,4.25,0.9903,,0.0012,
Argentina,Juanchi,MARCA B,Urquiza,Pedidos Ya,1 mar 2025,6783,0.1265,858,22178228,,4.6,0.981,0.1265,0.0012,17
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 abr 2025,6185,0.1384,856,19013675.5,,4.6,0.9744,0.1384,0,14
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 sept 2024,5775,0.1458,842,16332414,,4.5,0.9853,0.1458,0.0035,20
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 oct 2024,5596,0.1476,826,15662010,,4.6,0.9961,0.1476,0.0036,17
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 may 2025,8890,0.091,809,19335996.5,,4.5,0.981,0.091,0.0024,10
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 oct 2024,6985,0.1151,804,15630459.5,,4.5,0.9982,0.1151,0,10
Argentina,Juanchi,MARCA B,Belgrano,Pedidos Ya,1 jul 2024,5025,0.158,794,14125617.5,,4.5,0.9655,0.158,0,22
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 abr 2025,6851,0.1121,768,16755461.95,,4.5,0.988,0.1121,0.0038,10
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 nov 2024,5939,0.1288,765,14686685.5,,4.5,0.9971,0.1288,0.0026,11
Argentina,Juanchi,MARCA B,Recoleta,Pedidos Ya,1 sept 2024,6530,0.117,764,14276308.5,,4.6,0.9982,0.117,0,11
Argentina,Juanchi,MARCA B,Devoto,Pedidos Ya,1 ago 2024,5229.609321,0.1459,763,15091227.6,,4.5,0.9753,0.1587,0.0013,16
